"mean_time_sec";"0.03070511817932129"
"mean_time_millisec";"30.70511817932129"
"mean_time_min";"0.0005117519696553549"
"mean_time_hour_min_sec";"00:00:00"
"std_time";"0.0017765185505794123"
"mean_sum";"0.5733333333333335"
"mean_sum_per";"57.333"
"std_sum";"0.04695151163109067"
"mean_prod";"0.5733333333333335"
"mean_prod_per";"57.333"
"std_prod";"0.04695151163109067"
"mean_max";"0.5733333333333335"
"mean_max_per";"57.333"
"std_max";"0.04695151163109067"
"best_mean_rule";"sum"
"BEST_MEAN";"0.5733333333333335"
"BEST_MEAN_per";"57.333"
"best_mean_std";"0.04695151163109067"
"best_fold";"1"
"best_rule";"max"
"best_fold_accuracy";"0.6133333333333333"
"best_fold_accuracy_per";"61.333"
"best_params";"{'kernel': 'linear'}"
