"mean_time_sec";"0.36531634330749513"
"mean_time_millisec";"365.3163433074951"
"mean_time_min";"0.006088605721791585"
"mean_time_hour_min_sec";"00:00:00"
"std_time";"0.01450795266970404"
"mean_sum";"0.4640000000000001"
"mean_sum_per";"46.4"
"std_sum";"0.05017303392593809"
"mean_prod";"0.272"
"mean_prod_per";"27.2"
"std_prod";"0.04509742540076737"
"mean_max";"0.4586666666666666"
"mean_max_per";"45.867"
"std_max";"0.03636848452529561"
"best_mean_rule";"sum"
"BEST_MEAN";"0.4640000000000001"
"BEST_MEAN_per";"46.4"
"best_mean_std";"0.05017303392593809"
"best_fold";"3"
"best_rule";"sum"
"best_fold_accuracy";"0.52"
"best_fold_accuracy_per";"52.0"
"best_params";"{'criterion': 'entropy', 'max_depth': 100, 'splitter': 'best'}"
