"mean_time_sec";"0.01560959815979004"
"mean_time_millisec";"15.609598159790039"
"mean_time_min";"0.000260159969329834"
"mean_time_hour_min_sec";"00:00:00"
"std_time";"0.00019242329717242854"
"mean_sum";"0.5013333333333333"
"mean_sum_per";"50.133"
"std_sum";"0.02745501370929868"
"mean_prod";"0.36533333333333334"
"mean_prod_per";"36.533"
"std_prod";"0.05031456603763523"
"mean_max";"0.48266666666666663"
"mean_max_per";"48.267"
"std_max";"0.025854292572887093"
"best_mean_rule";"sum"
"BEST_MEAN";"0.5013333333333333"
"BEST_MEAN_per";"50.133"
"best_mean_std";"0.02745501370929868"
"best_fold";"2"
"best_rule";"sum"
"best_fold_accuracy";"0.5333333333333333"
"best_fold_accuracy_per";"53.333"
"best_params";"{'criterion': 'gini', 'max_depth': 10, 'splitter': 'random'}"
