"mean_time_sec";"2.280610990524292"
"mean_time_millisec";"2280.610990524292"
"mean_time_min";"0.03801018317540487"
"mean_time_hour_min_sec";"00:00:02"
"std_time";"0.02328742480729283"
"mean_sum";"0.7066666666666667"
"mean_sum_per";"70.667"
"std_sum";"0.08763560920082657"
"mean_prod";"0.7146666666666667"
"mean_prod_per";"71.467"
"std_prod";"0.06173779681488121"
"mean_max";"0.5413333333333334"
"mean_max_per";"54.133"
"std_max";"0.06057502235520291"
"best_mean_rule";"prod"
"BEST_MEAN";"0.7146666666666667"
"BEST_MEAN_per";"71.467"
"best_mean_std";"0.06173779681488121"
"best_fold";"1"
"best_rule";"prod"
"best_fold_accuracy";"0.8"
"best_fold_accuracy_per";"80.0"
"best_params";"{'criterion': 'entropy', 'max_depth': 100, 'max_features': 'sqrt', 'n_estimators': 1000}"
